0,1,2,3,4
NCT04498910,Inclusion,must have a diagnosis of migraine with a history of migraine headaches of at least 1 year prior and migraine onset prior to age 50.,must have a diagnosis of migraine with a history of migraine headaches of <VML Logic=greater_equal Unit=year>1</VML> prior and migraine onset prior to <VL Label=Age Source=DK>age</VL> <VML Logic=equal Unit=>50</VML> .,"[['Age', '>=', 1.0, 'year'], ['Age', '=', 50.0, 'years']]"
NCT04498910,Inclusion,have completed at least 80% of required daily diary entries during the start of the study.,have <VL Label=completed Source=ngram>completed</VL> <VML Logic=greater_equal Unit=%>80</VML> of required daily diary entries during the start of the study.,"[['completed', '>=', '80', '%']]"
NCT04498910,Inclusion,have documentation of previous failure of 2 to 4 standard-of-care migraine preventive medication categories in the past 10 years.,have <VL Label=documentation of previous failure Source=ngram>documentation of previous failure</VL> <VML Logic=greater_equal Unit=>2</VML> - <VML Logic=lower_equal Unit=>4</VML> standard-of-care migraine preventive medication categories <VML Logic=lower_equal Unit=past years>10</VML>.,"[['documentation of previous failure', '>=', '2', ''], ['documentation of previous failure', '<=', '4', ''], ['documentation of previous failure', '<=', '10', 'past years']]"
NCT04498910,Inclusion,"women of child-bearing potential who are not abstinent, must agree to use one highly effective method of contraception or a combination of two effective methods of contraception during the study, as well as 5 months following.","women of child-bearing potential who are not abstinent, must <VL Label=agree to use one highly effective method of contraception or a combination of two effective methods of contraception during the study Source=ngram>agree to use one highly effective method of contraception or a combination of two effective methods of contraception during the study</VL>, as well as <VML Logic=equal Unit=months>5</VML> following.","[['agree to use one highly effective method of contraception or a combination of two effective methods of contraception during the study', '=', '5', 'months']]"
NCT04498910,Inclusion,"a woman at least 40 years of age with an intact uterus, not on hormone therapy, who has cessation of menses for at least 1 year without an alternative medical cause and a follicle-stimulating hormone greater than (>) 40 multi-international units per milliliter (miu/ml)","a woman <VML Logic=greater_equal Unit=years>40</VML> of <VL Label=Age Source=DK>age</VL> with an intact uterus, not on hormone therapy, who has cessation of menses for <VML Logic=greater_equal Unit=year>1</VML> without an alternative medical cause and a follicle-stimulating hormone greater than ( > ) <VML Logic=equal Unit=multi-international units>40</VML> per milliliter ( miu / ml ) ","[['Age', '>=', 40.0, 'years'], ['Age', '>=', 1.0, 'year']]"
NCT04498910,Inclusion,"a woman 55 or older not on hormone therapy, who has had at least 12 months of spontaneous amenorrhea","a <VL Label=woman Source=ngram>woman</VL> <VML Logic=greater_equal Unit=>55</VML> not on hormone therapy, who has had <VML Logic=greater_equal Unit=months>12</VML> of spontaneous amenorrhea","[['woman', '>=', '55', ''], ['woman', '>=', '12', 'months']]"
NCT04498910,Inclusion,a woman at least 55 years of age with a diagnosis of menopause prior to starting hormone replacement therapy,a woman <VML Logic=greater_equal Unit=years>55</VML> of <VL Label=Age Source=DK>age</VL> with a diagnosis of menopause prior to starting hormone replacement therapy,"[['Age', '>=', 55.0, 'years']]"
NCT04498910,Exclusion,"have participated, within the last 30 days or 5-half-lives (whichever is longer), in a clinical study involving any investigational product","have <VL Label=participated Source=ngram>participated</VL>, <VML Logic=lower Unit=last days>30</VML> or 5-half-lives ( whichever is longer ) , in a clinical study involving any investigational product","[['participated', '<', '30', 'last days']]"
NCT04498910,Exclusion,"if the half-life of the investigational product is unknown, 6 months should have passed prior.","if the <VL Label=half-life of the investigational product is unknown Source=ngram>half-life of the investigational product is unknown</VL>, <VML Logic=equal Unit=months>6</VML> should have passed prior.","[['half-life of the investigational product is unknown', '=', '6', 'months']]"
NCT04498910,Exclusion,participants must have discontinued such medications or treatments at least 2 weeks prior,<VL Label=participants must have discontinued such medications or treatments Source=ngram>participants must have discontinued such medications or treatments</VL> <VML Logic=greater_equal Unit=weeks>2</VML> prior,"[['participants must have discontinued such medications or treatments', '>=', '2', 'weeks']]"
