0,1,2,3,4
NCT00004984,Inclusion,"individuals 3-45 years old who have an immediate family member with type 1 diabetes (such as a child, parent or sibling)","individuals <VML Logic=greater_equal Unit=years>3</VML> - <VML Logic=lower_equal Unit=years>45</VML> <VL Label=Age Source=DK>old</VL> who have an immediate family member with type 1 diabetes ( such as a child, parent or sibling ) ","[['Age', '>=', 3.0, 'years'], ['Age', '<=', 45.0, 'years']]"
NCT00004984,Inclusion,"individuals 3-20 years old who have an extended family member with type 1 diabetes (such as a cousin, niece, nephew, aunt, uncle, grandparent or half-sibling)","individuals <VML Logic=greater_equal Unit=years>3</VML> - <VML Logic=lower_equal Unit=years>20</VML> <VL Label=Age Source=DK>old</VL> who have an extended family member with type 1 diabetes ( such as a cousin, niece, nephew, aunt, uncle, grandparent or half-sibling ) ","[['Age', '>=', 3.0, 'years'], ['Age', '<=', 20.0, 'years']]"
NCT00005665,Exclusion,patients below the age of 3 or over 25.,patients below the <VL Label=Age Source=DK>age</VL> of <VML Logic=equal Unit=>3</VML> or <VML Logic=greater Unit=>25</VML> .,"[['Age', '=', 3.0, 'years'], ['Age', '>', 25.0, 'years']]"
NCT00021788,Inclusion,candidates must be between the ages of 18 and 65,candidates must be between the <VL Label=Age Source=DK>ages</VL> <VML Logic=greater_equal Unit=>18</VML> - <VML Logic=lower_equal Unit=>65</VML> ,"[['Age', '>=', 18.0, 'years'], ['Age', '<=', 65.0, 'years']]"
NCT00021788,Inclusion,candidates must have had iddm for at least 5 years and been under physician care for at least 6 months prior to enrollment in trial.,<VL Label=candidates must have had iddm Source=ngram>candidates must have had iddm</VL> for <VML Logic=greater_equal Unit=years>5</VML> and been under physician care for <VML Logic=greater_equal Unit=months>6</VML> prior to enrollment in trial.,"[['candidates must have had iddm', '>=', '5', 'years'], ['candidates must have had iddm', '>=', '6', 'months']]"
NCT00021788,Inclusion,these symptoms can include episodes of hypoglycemic unawareness (failure to recognize blood glucose levels < 54 mg/dl) or episodes requiring the assistance of others.,these symptoms can include episodes of hypoglycemic unawareness ( failure to recognize <VL Label=finding of blood glucose level Source=UMLS>blood glucose levels</VL> <VML Logic=lower Unit=mg/dl>54</VML> ) or episodes requiring the assistance of others.,"[['finding of blood glucose level', '<', '54', 'mg/dl']]"
NCT00021788,Inclusion,candidates may have poor diabetes control despite intensive insulin therapy (hba1c > 8.0%).,candidates may have poor diabetes control despite intensive insulin therapy ( <VL Label=HBA1C Source=DK>hba1c</VL> <VML Logic=greater Unit=%>8.0</VML> ) .,"[['HBA1C', '>', 8.0, '%']]"
NCT00021788,Inclusion,creatinine clearance should be > 60 ml/min),<VL Label=Creatinine clearance Source=DK>creatinine clearance</VL> should be <VML Logic=greater Unit=ml/min>60</VML> ) ,"[['Creatinine clearance', '>', 60.0, 'ml/min']]"
NCT00021788,Inclusion,body mass index should be less than 26,<VL Label=BMI Source=DK>body mass index</VL> should be <VML Logic=lower Unit=>26</VML> ,"[['BMI', '<', 26.0, 'kg/m2']]"
NCT00021788,Exclusion,"unstable cardiovascular status, including positive stress echocardiography (if > age 35)","unstable cardiovascular status, including positive stress echocardiography ( if > <VL Label=Age Source=DK>age</VL> <VML Logic=equal Unit=>35</VML> ) ","[['Age', '=', 35.0, 'years']]"
NCT00021788,Exclusion,presence of panel reactive antibodies > 20%,<VL Label=presence of panel reactive antibodies Source=ngram>presence of panel reactive antibodies</VL> <VML Logic=greater Unit=%>20</VML>,"[['presence of panel reactive antibodies', '>', '20', '%']]"
NCT00021788,Exclusion,creatinine clearance < 60 ml/min,<VL Label=Creatinine clearance Source=DK>creatinine clearance</VL> <VML Logic=lower Unit=ml/min>60</VML>,"[['Creatinine clearance', '<', 60.0, 'ml/min']]"
NCT00021788,Exclusion,hba1c 12%,<VL Label=HBA1C Source=DK>hba1c</VL> <VML Logic=equal Unit=%>12</VML>,"[['HBA1C', '=', 12.0, '%']]"
NCT00021788,Exclusion,anemia (hemoglobin < 12.0),anemia ( <VL Label=hemoglobin Source=ngram>hemoglobin</VL> <VML Logic=lower Unit=>12.0</VML> ) ,"[['hemoglobin', '<', '12.0', '']]"
NCT00021788,Exclusion,psa > 4 in males,<VL Label=psa Source=ngram>psa</VL> <VML Logic=greater Unit=>4</VML> in males,"[['psa', '>', '4', '']]"
NCT00021801,Inclusion,candidates must be between the ages of 18 and 50.,candidates must be between the <VL Label=Age Source=DK>ages</VL> <VML Logic=greater_equal Unit=>18</VML> - <VML Logic=lower_equal Unit=>50</VML> .,"[['Age', '>=', 18.0, 'years'], ['Age', '<=', 50.0, 'years']]"
NCT00021801,Inclusion,candidates must have had insulin-dependent diabetes mellitus (iddm) for at least 5 years and been under physician care for at least 6 months prior to enrollment in trial.,<VL Label=candidates must have had insulin-dependent diabetes mellitus Source=ngram>candidates must have had insulin-dependent diabetes mellitus</VL> ( iddm ) for <VML Logic=greater_equal Unit=years>5</VML> and been under physician care for <VML Logic=greater_equal Unit=months>6</VML> prior to enrollment in trial.,"[['candidates must have had insulin-dependent diabetes mellitus', '>=', '5', 'years'], ['candidates must have had insulin-dependent diabetes mellitus', '>=', '6', 'months']]"
