0,1,2,3,4
NCT00002520,Inclusion,must have smoked 1 or more cigarettes within the past month or define self as a smoker,must have <VL Label=smoked Source=ngram>smoked</VL> <VML Logic=greater_equal Unit=cigarettes>1</VML> within the past month or define self as a smoker,"[['smoked', '>=', '1', 'cigarettes']]"
NCT00002520,Inclusion,ecog 0-1,<VL Label=ECOG Source=DK>ecog</VL> <VML Logic=greater_equal Unit=>0</VML> - <VML Logic=lower_equal Unit=>1</VML> ,"[['ECOG', '>=', 0.0, ''], ['ECOG', '<=', 1.0, '']]"
NCT00002583,Inclusion,"10 if complete mediastinal lymph node resection has not been undertaken, any mediastinal","<VML Logic=equal Unit=>10</VML> if complete mediastinal <VL Label=Lymph node Source=DK>lymph node</VL> resection has not been undertaken, any mediastinal","[['Lymph node', '=', 10.0, '']]"
NCT00002583,Inclusion,lymph node which measured 1.5 cm or more on presurgical ct scan must have been biopsied and,<VL Label=Lymph node Source=DK>lymph node</VL> which measured <VML Logic=greater_equal Unit=cm>1.5</VML> on presurgical ct scan must have been biopsied and,"[['Lymph node', '>=', 1.5, 'cm']]"
NCT00002583,Inclusion,found to be free of metastatic involvement disease at nodal station 10 (tracheobronchial,<VL Label=found to be free of metastatic involvement disease at nodal station Source=ngram>found to be free of metastatic involvement disease at nodal station</VL> <VML Logic=equal Unit=>10</VML>  ( tracheobronchial,"[['found to be free of metastatic involvement disease at nodal station', '=', '10', '']]"
NCT00002583,Inclusion,canadian centers others to submit representative paraffin block within 2 months of surgery,canadian centers others to submit representative paraffin block <VML Logic=lower Unit=months>2</VML> of <VL Label=Surgery Source=DK>surgery</VL>,"[['Surgery', '<', 2.0, 'months']]"
NCT00002583,Inclusion,patient characteristics: age: 18 and over (lower age limit determined by individual center),patient characteristics: <VL Label=Age Source=DK>age</VL>: <VML Logic=greater_equal Unit=>18</VML> ( lower <VL Label=Age Source=DK>age</VL> limit determined by individual center ) ,"[['Age', '>=', 18.0, 'years']]"
NCT00002583,Inclusion,performance status: ecog 0 or 1 life expectancy: not specified hematopoietic: absolute,performance status: <VL Label=ECOG Source=DK>ecog</VL> <VML Logic=equal Unit=>0</VML> or <VML Logic=equal Unit=>1</VML> life expectancy: not specified hematopoietic: absolute,"[['ECOG', '=', 0.0, ''], ['ECOG', '=', 1.0, '']]"
NCT00002583,Inclusion,granulocyte count greater than 2000/mm3 platelet count greater than 100000/mm3 hemoglobin,granulocyte count <VML Logic=greater Unit=/mm3>2000</VML> <VL Label=platelet count measurement Source=UMLS>platelet count</VL> <VML Logic=greater Unit=/mm3>100000</VML> hemoglobin,"[['platelet count measurement', '>', '2000', '/mm3'], ['platelet count measurement', '>', '100000', '/mm3']]"
NCT00002583,Inclusion,greater than 10.0 g/dl hepatic: bilirubin no greater than 1.25 times normal ast/alt no,<VML Logic=greater Unit=g/dl>10.0</VML> hepatic: <VL Label=Bilirubin Source=DK>bilirubin</VL> <VML Logic=lower_equal Unit=times>1.25</VML> normal ast / <VL Label=ALT Source=DK>alt</VL> no,"[['Bilirubin', '>', 10.0, 'g/dl'], ['Bilirubin', '<=', 1.25, 'times']]"
NCT00002583,Inclusion,renal: creatinine no greater than 1.7 mg/dl cardiovascular: no history of congestive heart,renal: <VL Label=Creatinine Source=DK>creatinine</VL> <VML Logic=lower_equal Unit=mg/dl>1.7</VML> cardiovascular: no history of congestive heart,"[['Creatinine', '<=', 1.7, 'mg/dl']]"
NCT00002583,Inclusion,past 5 years except adequately treated nonmelanomatous skin cancer or carcinoma in situ of,<VL Label=past Source=ngram>past</VL> <VML Logic=equal Unit=years>5</VML> except adequately treated nonmelanomatous skin cancer or carcinoma in situ of,"[['past', '=', '5', 'years']]"
NCT00002583,Inclusion,prior concurrent therapy: complete resection required randomization between 28 and 40 days,prior concurrent therapy: <VL Label=complete resection required randomization Source=ngram>complete resection required randomization</VL> <VML Logic=greater_equal Unit=days>28</VML> - <VML Logic=lower_equal Unit=days>40</VML>,"[['complete resection required randomization', '>=', '28', 'days'], ['complete resection required randomization', '<=', '40', 'days']]"
NCT00002586,Inclusion,i and ii non-small cell lung cancer who are disease free greater than 36 months,i and <VL Label=ii non-small cell lung cancer who are disease free Source=ngram>ii non-small cell lung cancer who are disease free</VL> <VML Logic=greater Unit=months>36</VML>,"[['ii non-small cell lung cancer who are disease free', '>', '36', 'months']]"
NCT00002586,Inclusion,patients must have at least a 30 pack year smoking history,patients must have greater_equal a <VML Logic=equal Unit=pack year>30</VML> <VL Label=Smoking Source=DK>smoking</VL> history,"[['Smoking', '=', 30.0, 'pack year']]"
